\bscra	𝓪
\guilsinglright	›
\bisansc	𝙘
\:ghost:	👻
\:briefs:	🩲
\Re	ℜ
\:children_crossing:	🚸
\bbz	𝕫
\:sewing_needle:	🪡
\urcorner	⌝
\frakY	𝔜
\^2	²
\pi	π
\nless	≮
\:rooster:	🐓
\:shaved_ice:	🍧
\bbF	𝔽
\nrightarrow	↛
\:sponge:	🧽
\:thread:	🧵
\upsilon	υ
\bfrakq	𝖖
\copyright	©
\npreccurlyeq	⋠
\bfrakL	𝕷
\:socks:	🧦
\:flamingo:	🦩
\:mens:	🚹
\:no_good:	🙅
\bisansX	𝙓
\:crescent_moon:	🌙
\backsimeq	⋍
\:placard:	🪧
\:person_frowning:	🙍
\bisansD	𝘿
\hvlig	ƕ
\blockrighthalf	▐
\bscrB	𝓑
\ttn	𝚗
\:athletic_shoe:	👟
\:octopus:	🐙
\:coconut:	🥥
\ldq	“
\bsanskappa	𝝹
\llcorner	⌞
\circleddash	⊝
\:drum_with_drumsticks:	🥁
\:relaxed:	☺
\:small_orange_diamond:	🔸
\^l	ˡ
\precneqq	⪵
\urblacktriangle	◥
\succeqq	⪴
\nsupseteq	⊉
\iota	ι
\:table_tennis_paddle_and_ball:	🏓
\overbrace	⏞
\danger	☡
\rightharpoondown	⇁
\RRightarrow	⭆
\:ninja:	🥷
\bisansMu	𝞛
\isansZ	𝘡
\impliedby	⟸
\succapprox	⪸
\Rsh	↱
\:taurus:	♉
\:boot:	👢
\:lab_coat:	🥼
\bsansvarrho	𝞎
\pointint	⨕
\original	⊶
\nvtwoheadleftarrow	⬴
\bsanspartial	𝞉
\:skin-tone-2:	🏻
\:open_mouth:	😮
\nBumpeq	≎̸
\bisanssigma	𝞼
\frakD	𝔇
\clockoint	⨏
\rarrx	⥇
\itx	𝑥
\underleftarrow	⃮
\bij	𝒋
\measangledltosw	⦯
\eqqsim	⩳
\:wc:	🚾
\:scarf:	🧣
\leo	♌
\:white_flower:	💮
\bfrakR	𝕽
\DownArrowBar	⤓
\surd	√
\:six_pointed_star:	🔯
\:smiling_imp:	😈
\bbk	𝕜
\twoheaddownarrow	↡
\ointctrclockwise	∳
\fraku	𝔲
\bagmember	⋿
\ElOr	⩖
\bfvarTheta	𝚹
\:raised_back_of_hand:	🤚
\Otimes	⨷
\isansp	𝘱
\:microphone:	🎤
\frakS	𝔖
\frakG	𝔊
\measangledrtose	⦮
\:ring:	💍
\doubleplus	⧺
\Game	⅁
\_x	ₓ
\sanseight	𝟪
\NestedGreaterGreater	⪢
\pentagon	⬠
\supmult	⫂
\bfu	𝐮
\sansLturned	⅂
\:pig_nose:	🐽
\bumpeqq	⪮
\leftarrowtriangle	⇽
\itgamma	𝛾
\lnsim	⋦
\:bone:	🦴
\itjmath	𝚥
\gnapprox	⪊
\smallblacktriangleleft	◂
\twoheaduparrowcircle	⥉
\:butter:	🧈
\:phone:	☎
\:waning_crescent_moon:	🌘
\NotLeftTriangleBar	⧏̸
\nRightarrow	⇏
\veedoublebar	⩣
\backepsilon	϶
\nsucccurlyeq	⋡
\biU	𝑼
\ng	ŋ
\eqdef	≝
\eqqslantless	⪛
\:mosque:	🕌
\:trident:	🔱
\:clock1130:	🕦
\l	ł
\:cold_sweat:	😰
\bisansNu	𝞜
\:bouquet:	💐
\:t-rex:	🦖
\lvertneqq	≨︀
\:older_man:	👴
\isansF	𝘍
\S	§
\:earth_africa:	🌍
\backppprime	‷
\leftdotarrow	⬸
\omega	ω
\itNu	𝛮
\fisheye	◉
\NotSquareSubset	⊏̸
\boxcircle	⧇
\isansu	𝘶
\:top:	🔝
\:european_post_office:	🏤
\sansy	𝗒
\Bumpeq	≎
\daleth	ℸ
\csub	⫏
\bscrA	𝓐
\bsansTheta	𝝝
\:rice:	🍚
\recorder	⌕
\cupvee	⩅
\:takeout_box:	🥡
\:kimono:	👘
\isansc	𝘤
\bbR	ℝ
\bbD	𝔻
\bsanstheta	𝝷
\bfG	𝐆
\:star:	⭐
\:magnet:	🧲
\shuffle	⧢
\:a:	🅰
\ttK	𝙺
\itC	𝐶
\:fire_extinguisher:	🧯
\:currency_exchange:	💱
\:battery:	🔋
\_phi	ᵩ
\clomeg	ɷ
\^)	⁾
\:smiling_face_with_3_hearts:	🥰
\bsansUpsilon	𝝪
\:cup_with_straw:	🥤
\bigwhitestar	☆
\bigblacktriangleup	▲
\circlevertfill	◍
\:cl:	🆑
\:restroom:	🚻
\:drop_of_blood:	🩸
\frakA	𝔄
\:skull:	💀
\:white_medium_small_square:	◽
\sansone	𝟣
\leftarrowplus	⥆
\bbt	𝕥
\mars	♂
\ngtr	≯
\:fried_shrimp:	🍤
\hksearow	⤥
\acidfree	♾
\bisansB	𝘽
\lesssim	≲
\parallelogramblack	▰
\isansl	𝘭
\angles	⦞
\:cocktail:	🍸
\:first_place_medal:	🥇
\boxquestion	⍰
\:green_heart:	💚
\Sqcap	⩎
\bisansg	𝙜
\:scorpion:	🦂
\^W	ᵂ
\bbeight	𝟠
\:passport_control:	🛂
\:taco:	🌮
\Colon	∷
\:white_small_square:	▫
\ltphi	ɸ
\frakO	𝔒
\bsansomega	𝞈
\sagittarius	♐
\:yen:	💴
\:broom:	🧹
\biN	𝑵
\sansv	𝗏
\dot	̇
\Omega	Ω
\ttG	𝙶
\:wood:	🪵
\upoldKoppa	Ϙ
\:dragon_face:	🐲
\:fortune_cookie:	🥠
\looparrowright	↬
\bisansR	𝙍
\:mountain_railway:	🚞
\fdiagovrdiag	⤬
\itchi	𝜒
\ngeqslant	⩾̸
\^1	¹
\itl	𝑙
\bfrakJ	𝕵
\:broken_heart:	💔
\:snake:	🐍
\:hedgehog:	🦔
\biNu	𝜨
\pluseqq	⩲
\beta	β
\blkhorzoval	⬬
\twonotes	♫
\mdblkdiamond	⬥
\ttnine	𝟿
\itOmega	𝛺
\approxnotequal	≆
\:cupid:	💘
\isansx	𝘹
\:softball:	🥎
\subsetneqq	⫋
\nvtwoheadrightarrowtail	⤗
\bisansY	𝙔
\neg	¬
\bscrx	𝔁
\itmu	𝜇
\barwedge	⊼
\:worried:	😟
\sansL	𝖫
\:minidisc:	💽
\:carousel_horse:	🎠
\bfkappa	𝛋
\leftbkarrow	⤌
\nvtwoheadleftarrowtail	⬼
\:steam_locomotive:	🚂
\:carpentry_saw:	🪚
\Cap	⋒
\bsanss	𝘀
\^I	ᴵ
\frakb	𝔟
\bfz	𝐳
\:incoming_envelope:	📨
\ddddot	⃜
\:nauseated_face:	🤢
\_j	ⱼ
\longrightarrow	⟶
\bbW	𝕎
\:hear_no_evil:	🙉
\:keycap_ten:	🔟
\:microscope:	🔬
\varcarriagereturn	⏎
\dottedsquare	⬚
\:clock4:	🕓
\:lock_with_ink_pen:	🔏
\:bell:	🔔
\lmoustache	⎰
\^h	ʰ
\Equiv	≣
\ttr	𝚛
\capwedge	⩄
\:u7981:	🈲
\accurrent	⏦
\draftingarrow	➛
\bbGamma	ℾ
\DH	Ð
\circleonleftarrow	⬰
\egsdot	⪘
\ttU	𝚄
\bfraks	𝖘
\bsansLambda	𝝠
\itc	𝑐
\openbracketright	⟧
\vec	⃗
\bivartheta	𝝑
\ttC	𝙲
\:barber:	💈
\sansw	𝗐
\:scooter:	🛴
\bscrn	𝓷
\:cancer:	♋
\bfrake	𝖊
\:family:	👪
\L	Ł
\ni	∋
\itvarkappa	𝜘
\:gift_heart:	💝
\vardiamondsuit	♦
\isansA	𝘈
\itt	𝑡
\ttH	𝙷
\leftrightharpoonsdown	⥧
\profsurf	⌓
\bialpha	𝜶
\_v	ᵥ
\:round_pushpin:	📍
\:toothbrush:	🪥
\:skunk:	🦨
\frakq	𝔮
\:ambulance:	🚑
\bsansvarphi	𝞅
\:nose:	👃
\:truck:	🚚
\supsetplus	⫀
\bsansP	𝗣
\bisansr	𝙧
\:tamale:	🫔
\bivarepsilon	𝜺
\bbp	𝕡
\NotNestedLessLess	⪡̸
\bfL	𝐋
\sqlozenge	⌑
\:8ball:	🎱
\:o:	⭕
\:u55b6:	🈺
\ttfour	𝟺
\gtrless	≷
\:unlock:	🔓
\twoheadleftdbkarrow	⬷
\:roller_coaster:	🎢
\:beginner:	🔰
\turnednot	⌙
\wedgedot	⟑
\similarleftarrow	⭉
\:apple:	🍎
\bsansu	𝘂
\:no_mouth:	😶
\rtlz	ʐ
\:white_square_button:	🔳
\lescc	⪨
\:field_hockey_stick_and_ball:	🏑
\sanso	𝗈
\isansY	𝘠
\bisansU	𝙐
\:lungs:	🫁
\vardoublebarwedge	⌆
\invwhiteupperhalfcircle	◚
\hspace	 
\:baby_chick:	🐤
\:baguette_bread:	🥖
\rightdotarrow	⤑
\leqslant	⩽
\trnr	ɹ
\frake	𝔢
\bsanschi	𝞆
\wedgeonwedge	⩕
\fullouterjoin	⟗
\:small_blue_diamond:	🔹
\bscrD	𝓓
\isansj	𝘫
\:light_rail:	🚈
\lmrk	ː
\nHuparrow	⇞
\gamma	γ
\simgE	⪠
\bflambda	𝛌
\varstar	✶
\:see_no_evil:	🙈
\Doteq	≑
\:closed_umbrella:	🌂
\:confetti_ball:	🎊
\ttD	𝙳
\:dvd:	📀
\:deer:	🦌
\:mechanical_leg:	🦿
\bbn	𝕟
\nsubset	⊄
\Equal	⩵
\:elevator:	🛗
\:exclamation:	❗
\varhexagon	⬡
\sansr	𝗋
\bsansMu	𝝡
\1/6	⅙
\bkarow	⤍
\bisanso	𝙤
\bfrakw	𝖜
\:checkered_flag:	🏁
\bscrq	𝓺
\P	¶
\bfrakF	𝕱
\napprox	≉
\sansA	𝖠
\:canoe:	🛶
\ttT	𝚃
\:high_brightness:	🔆
\ltquest	⩻
\:koko:	🈁
\bisansk	𝙠
\bsansGamma	𝝘
\lesseqgtr	⋚
\smeparsl	⧤
\bisansx	𝙭
\:snowflake:	❄
\varnothing	∅
\:bangbang:	‼
\rppolint	⨒
\cirfr	◑
\:sweat_drops:	💦
\eta	η
\bisansa	𝙖
\bsansU	𝗨
\:disappointed:	😞
\:sos:	🆘
\^gamma	ᵞ
\:spock-hand:	🖖
\Vdash	⊩
\^G	ᴳ
\:speech_balloon:	💬
\:pager:	📟
\:id:	🆔
\gemini	♊
\^ltphi	ᶲ
\:loud_sound:	🔊
\:pickup_truck:	🛻
\bivarsigma	𝝇
\bff	𝐟
\_1	₁
\nsupset	⊅
\supsetneqq	⫌
\:squid:	🦑
\lesdotor	⪃
\dotequiv	⩧
\:fish_cake:	🍥
\:massage:	💆
\bfvarrho	𝛠
\bfrakG	𝕲
\bigtriangleup	△
\underbar	̲
\:statue_of_liberty:	🗽
\ttj	𝚓
\itL	𝐿
\:dizzy:	💫
\:roll_of_paper:	🧻
\bimu	𝝁
\image	⊷
\ita	𝑎
\biEpsilon	𝜠
\:clock830:	🕣
\:left_right_arrow:	↔
\supdsub	⫘
\sansfour	𝟦
\smashtimes	⨳
\Zeta	Ζ
\nisd	⋺
\biR	𝑹
\DDownarrow	⟱
\bigamma	𝜸
\:mute:	🔇
\bisansJ	𝙅
\circledcirc	⊚
\subsim	⫇
\diameter	⌀
\:clock3:	🕒
\:innocent:	😇
\:neutral_face:	😐
\house	⌂
\bfpsi	𝛙
\towa	⤪
\:bullettrain_side:	🚄
\schwa	ə
\in	∈
\bfe	𝐞
\:selfie:	🤳
\frakR	ℜ
\:kangaroo:	🦘
\:name_badge:	📛
\:lobster:	🦞
\chi	χ
\itD	𝐷
